count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
40919,2018,3,Scotland,3,"Glasgow City",A804,Major,M8/A879,A803,259700,666200,55.86848500,-4.24366860,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",150,23,7404,395,1163,122,31,12,5,9,13,192,9177
82037,2018,3,Scotland,3,"Glasgow City",M77,Major,B768,M74/M77/M8,256115,663722,55.84518200,-4.29959320,0.70,0.43,Counted,"Automatic counter",0,273,71596,445,14532,1376,389,830,179,562,1261,4596,91442
82090,2018,3,Scotland,3,"Glasgow City",A77,Major,"Oxford Street","Broomielaw/Clyde Street",258753,664743,55.85512800,-4.25802990,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",245,92,6881,717,814,55,17,3,3,11,5,95,8598
82101,2018,3,Scotland,3,"Glasgow City",A8,Major,"Norfolk Street","Bridge Street/Oxford Street",258838,664526,55.85320500,-4.25656020,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",54,15,4580,27,641,90,7,4,11,8,3,121,5384
82036,2018,3,Scotland,3,"Glasgow City",M77,Major,M77,B768,255576,663254,55.84081900,-4.30794480,0.40,0.25,Counted,"Automatic counter",0,10,4704,12,851,67,11,7,7,12,1,105,5683
82096,2018,3,Scotland,3,"Glasgow City",A8,Major,"Cook Street","Wallace Street",258282,664383,55.85175800,-4.26535950,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",123,22,6310,5,1438,134,53,19,9,10,10,235,8010
82084,2018,3,Scotland,3,"Glasgow City",A8,Major,"Tradeston Street","Camoustie Street",258318,664668,55.85432700,-4.26493390,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",195,71,9396,323,1489,208,31,11,6,15,6,277,11556
80212,2018,3,Scotland,3,"Glasgow City",A8,Major,"B765 Stepps Road",A89,266000,665240,55.86165900,-4.14259630,3.40,2.11,Estimated,"Estimated using previous year's AADF on this link",50,17,5060,168,991,118,30,15,13,14,9,200,6435
80446,2018,3,Scotland,3,"Glasgow City",M8,Major,A8,"M8 Slips",258000,664720,55.85470000,-4.27003660,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",0,223,114882,1008,21241,2715,455,502,140,973,1742,6526,143881
82041,2018,3,Scotland,3,"Glasgow City",M77,Major,B768,M77,255667,663213,55.84047800,-4.30647110,0.50,0.31,Counted,"Automatic counter",0,21,4955,25,1032,183,37,41,28,134,269,692,6725
